id	userid	hits	z	trials	created_at	updated_at
233	fff8c30e58	2	0.00	10	2023-05-23 17:48:27	2023-05-23 17:48:27
234	fff8c30e58	0	-1.58	10	2023-05-23 17:48:38	2023-05-23 17:48:38
235	fff8c30e58	1	-0.79	10	2023-05-23 17:48:52	2023-05-23 17:48:52
236	fff8c30e58	2	0.00	10	2023-05-23 17:49:05	2023-05-23 17:49:05
237	fff8c30e58	2	0.00	10	2023-05-23 17:49:17	2023-05-23 17:49:17
238	fff8c30e58	0	-1.58	10	2023-05-23 17:49:32	2023-05-23 17:49:32
239	fff8c30e58	2	0.00	10	2023-05-23 17:49:46	2023-05-23 17:49:46
240	fff8c30e58	3	0.79	10	2023-05-23 17:49:57	2023-05-23 17:49:57
241	fff8c30e58	3	0.79	10	2023-05-23 17:50:07	2023-05-23 17:50:07
242	fff8c30e58	3	0.79	10	2023-05-23 17:50:16	2023-05-23 17:50:16
243	fff8c30e58	0	-1.58	10	2023-05-23 18:07:12	2023-05-23 18:07:12
244	fff8c30e58	1	-0.79	10	2023-05-23 18:07:22	2023-05-23 18:07:22
245	fff8c30e58	3	0.79	10	2023-05-23 18:07:39	2023-05-23 18:07:39
246	fff8c30e58	3	0.79	10	2023-05-23 18:07:51	2023-05-23 18:07:51
247	fff8c30e58	1	-0.79	10	2023-05-23 18:08:03	2023-05-23 18:08:03
248	fff8c30e58	2	0.00	10	2023-05-23 18:08:14	2023-05-23 18:08:14
249	fff8c30e58	5	2.37	10	2023-05-23 18:08:27	2023-05-23 18:08:27
250	d40dfacc09	3	0.79	10	2023-05-23 19:08:53	2023-05-23 19:08:53
251	d40dfacc09	0	-1.58	10	2023-05-23 19:09:47	2023-05-23 19:09:47
252	d40dfacc09	3	0.79	10	2023-05-23 19:10:29	2023-05-23 19:10:29
253	d40dfacc09	2	0.00	10	2023-05-23 19:11:14	2023-05-23 19:11:14
254	77c18aa0ae	3	0.79	10	2023-05-23 19:23:11	2023-05-23 19:23:11
255	891172471b	0	-1.58	10	2023-05-23 20:38:56	2023-05-23 20:38:56
256	891172471b	3	0.79	10	2023-05-23 20:40:22	2023-05-23 20:40:22
257	891172471b	2	0.00	10	2023-05-23 20:41:52	2023-05-23 20:41:52
258	fff8c30e58	3	0.79	10	2023-05-23 22:08:53	2023-05-23 22:08:53
