id	userid	num_correct	mega	z	trials	created_at	updated_at
145	3036d30a05	1	0	0.14	1	2023-05-24 12:52:43	2023-05-24 12:52:43
146	fff8c30e58	1	0	0.14	1	2023-05-24 14:00:22	2023-05-24 14:00:22
147	fff8c30e58	0	0	-6.36	1	2023-05-24 14:00:43	2023-05-24 14:00:43
148	fff8c30e58	0	0	-6.36	1	2023-05-24 14:00:57	2023-05-24 14:00:57
149	37b1202ffb	1	0	0.14	1	2023-05-24 14:51:35	2023-05-24 14:51:35
150	e562fe06a4	0	0	-6.36	1	2023-05-24 19:48:25	2023-05-24 19:48:25
151	e562fe06a4	1	0	0.14	1	2023-05-24 19:48:54	2023-05-24 19:48:54
152	e562fe06a4	1	0	0.14	1	2023-05-24 19:49:25	2023-05-24 19:49:25
153	51f5819377	1	0	0.14	1	2023-05-24 20:51:02	2023-05-24 20:51:02
154	51f5819377	2	0	1.40	1	2023-05-24 20:51:23	2023-05-24 20:51:23
155	51f5819377	1	0	0.14	1	2023-05-24 20:51:37	2023-05-24 20:51:37
156	76b0cf44d8	0	0	-6.36	1	2023-05-24 23:23:58	2023-05-24 23:23:58
157	8c0e8dcf0f	0	0	-6.36	1	2023-05-24 23:26:46	2023-05-24 23:26:46
158	03bbe154e3	2	0	1.40	1	2023-05-25 01:33:29	2023-05-25 01:33:29
159	03bbe154e3	1	0	0.14	1	2023-05-25 01:34:18	2023-05-25 01:34:18
160	03bbe154e3	0	1	1.75	1	2023-05-25 01:34:48	2023-05-25 01:34:48
161	03bbe154e3	0	0	-6.36	1	2023-05-25 01:35:26	2023-05-25 01:35:26
162	03bbe154e3	0	0	-6.36	1	2023-05-25 01:36:02	2023-05-25 01:36:02
163	03bbe154e3	0	0	-6.36	1	2023-05-25 09:53:11	2023-05-25 09:53:11
164	03bbe154e3	0	1	1.75	1	2023-05-25 09:53:36	2023-05-25 09:53:36
165	03bbe154e3	1	0	0.14	1	2023-05-25 09:54:00	2023-05-25 09:54:00
166	03bbe154e3	1	0	0.14	1	2023-05-25 09:54:45	2023-05-25 09:54:45
167	03bbe154e3	1	0	0.14	1	2023-05-25 09:55:40	2023-05-25 09:55:40
168	03bbe154e3	2	1	2.72	1	2023-05-25 09:56:05	2023-05-25 09:56:05
169	03bbe154e3	0	0	-6.36	1	2023-05-25 09:56:40	2023-05-25 09:56:40
170	03bbe154e3	0	1	1.75	1	2023-05-25 09:57:13	2023-05-25 09:57:13
171	03bbe154e3	0	0	-6.36	1	2023-05-25 09:57:46	2023-05-25 09:57:46
172	03bbe154e3	0	0	-6.36	1	2023-05-25 09:58:09	2023-05-25 09:58:09
173	03bbe154e3	0	0	-6.36	1	2023-05-25 09:58:27	2023-05-25 09:58:27
174	03bbe154e3	1	0	0.14	1	2023-05-25 09:58:42	2023-05-25 09:58:42
175	03bbe154e3	1	0	0.14	1	2023-05-25 09:59:02	2023-05-25 09:59:02
176	03bbe154e3	1	0	0.14	1	2023-05-25 09:59:48	2023-05-25 09:59:48
177	03bbe154e3	0	0	-6.36	1	2023-05-25 10:00:19	2023-05-25 10:00:19
178	bda1283c07	0	0	-6.36	1	2023-05-25 13:29:35	2023-05-25 13:29:35
179	bda1283c07	0	0	-6.36	1	2023-05-25 13:29:56	2023-05-25 13:29:56
180	bda1283c07	0	0	-6.36	1	2023-05-25 13:30:16	2023-05-25 13:30:16
181	fff8c30e58	1	0	0.14	1	2023-05-25 14:21:09	2023-05-25 14:21:09
182	76b0cf44d8	0	0	-6.36	1	2023-05-25 22:30:00	2023-05-25 22:30:00
183	76b0cf44d8	0	0	-6.36	1	2023-05-25 22:33:02	2023-05-25 22:33:02
184	76b0cf44d8	1	0	0.14	1	2023-05-25 22:33:15	2023-05-25 22:33:15
185	76b0cf44d8	1	0	0.14	1	2023-05-25 22:33:38	2023-05-25 22:33:38
186	76b0cf44d8	0	0	-6.36	1	2023-05-25 22:34:32	2023-05-25 22:34:32
187	76b0cf44d8	0	0	-6.36	1	2023-05-25 22:34:54	2023-05-25 22:34:54
188	bdccdd5b23	1	0	0.14	1	2023-05-26 17:41:03	2023-05-26 17:41:03
189	bdccdd5b23	1	1	2.10	1	2023-05-26 17:41:56	2023-05-26 17:41:56
190	d40dfacc09	1	0	0.14	1	2023-05-26 20:38:38	2023-05-26 20:38:38
191	d40dfacc09	1	0	0.14	1	2023-05-26 20:39:03	2023-05-26 20:39:03
192	fff8c30e58	1	0	0.14	1	2023-05-26 20:45:40	2023-05-26 20:45:40
193	fff8c30e58	1	0	0.14	1	2023-05-26 20:45:58	2023-05-26 20:45:58
194	fff8c30e58	0	0	-6.36	1	2023-05-26 20:52:58	2023-05-26 20:52:58
195	fff8c30e58	0	0	-6.36	1	2023-05-26 20:53:07	2023-05-26 20:53:07
196	fff8c30e58	1	0	0.14	1	2023-05-26 20:53:18	2023-05-26 20:53:18
197	ff92c2f177	0	0	-6.36	1	2023-05-27 13:56:17	2023-05-27 13:56:17
198	77c18aa0ae	0	0	-6.36	1	2023-05-27 17:08:30	2023-05-27 17:08:30
199	77c18aa0ae	1	0	0.14	1	2023-05-27 17:08:42	2023-05-27 17:08:42
200	77c18aa0ae	0	0	-6.36	1	2023-05-27 17:08:54	2023-05-27 17:08:54
201	77c18aa0ae	0	0	-6.36	1	2023-05-27 17:09:05	2023-05-27 17:09:05
202	77c18aa0ae	2	0	1.40	1	2023-05-27 17:09:17	2023-05-27 17:09:17
203	fff8c30e58	0	0	-6.36	1	2023-05-28 13:35:50	2023-05-28 13:35:50
204	fff8c30e58	1	0	0.14	1	2023-05-28 13:36:04	2023-05-28 13:36:04
205	fff8c30e58	0	0	-6.36	1	2023-05-29 13:11:02	2023-05-29 13:11:02
206	fff8c30e58	0	0	-6.36	1	2023-05-29 13:11:20	2023-05-29 13:11:20
207	fff8c30e58	0	1	1.75	1	2023-05-29 13:11:36	2023-05-29 13:11:36
208	bd86b078cc	1	0	0.14	1	2023-05-29 21:27:01	2023-05-29 21:27:01
209	bd86b078cc	1	0	0.14	1	2023-05-29 21:29:54	2023-05-29 21:29:54
210	bd86b078cc	1	0	0.14	1	2023-05-29 21:33:38	2023-05-29 21:33:38
211	fff8c30e58	2	0	1.40	1	2023-05-30 13:52:51	2023-05-30 13:52:51
212	ae50750d2f	1	0	0.14	1	2023-05-30 18:44:52	2023-05-30 18:44:52
213	ae50750d2f	0	0	-6.36	1	2023-05-30 18:45:08	2023-05-30 18:45:08
214	fff8c30e58	0	0	-6.36	1	2023-05-31 14:34:46	2023-05-31 14:34:46
215	fff8c30e58	2	0	1.40	1	2023-05-31 14:35:04	2023-05-31 14:35:04
216	bdccdd5b23	1	0	0.14	1	2023-05-31 19:16:21	2023-05-31 19:16:21
217	bdccdd5b23	1	0	0.14	1	2023-05-31 19:16:48	2023-05-31 19:16:48
218	bdccdd5b23	0	0	-6.36	1	2023-05-31 19:17:03	2023-05-31 19:17:03
219	bdccdd5b23	0	0	-6.36	1	2023-05-31 19:17:21	2023-05-31 19:17:21
220	fff8c30e58	1	0	0.14	1	2023-06-01 14:53:10	2023-06-01 14:53:10
221	fff8c30e58	0	0	-6.36	1	2023-06-01 14:53:33	2023-06-01 14:53:33
222	fff8c30e58	1	0	0.14	1	2023-06-01 14:53:53	2023-06-01 14:53:53
223	fff8c30e58	0	0	-6.36	1	2023-06-01 14:54:12	2023-06-01 14:54:12
224	fff8c30e58	1	0	0.14	1	2023-06-01 14:54:24	2023-06-01 14:54:24
225	b18c90c4f5	0	0	-6.36	1	2023-06-01 23:50:53	2023-06-01 23:50:53
226	b18c90c4f5	0	0	-6.36	1	2023-06-01 23:51:23	2023-06-01 23:51:23
227	0dd2d9fdd1	0	0	-6.36	1	2023-06-01 23:55:17	2023-06-01 23:55:17
228	0dd2d9fdd1	0	0	-6.36	1	2023-06-01 23:55:28	2023-06-01 23:55:28
229	62b3e910b4	1	0	0.14	1	2023-06-02 00:05:16	2023-06-02 00:05:16
230	d2dd8d1064	0	0	-6.36	1	2023-06-02 00:09:08	2023-06-02 00:09:08
231	07d6265486	0	0	-6.36	1	2023-06-02 00:40:59	2023-06-02 00:40:59
232	07d6265486	0	0	-6.36	1	2023-06-02 01:32:27	2023-06-02 01:32:27
233	2446d585aa	1	0	0.14	1	2023-06-02 01:43:28	2023-06-02 01:43:28
234	b18c90c4f5	1	0	0.14	1	2023-06-02 04:05:47	2023-06-02 04:05:47
235	b18c90c4f5	1	0	0.14	1	2023-06-02 04:06:11	2023-06-02 04:06:11
236	73edb425b7	1	0	0.14	1	2023-06-02 07:29:51	2023-06-02 07:29:51
237	9eb0d040ef	0	0	-6.36	1	2023-06-02 09:02:40	2023-06-02 09:02:40
238	9eb0d040ef	0	0	-6.36	1	2023-06-02 09:03:37	2023-06-02 09:03:37
239	9eb0d040ef	1	0	0.14	1	2023-06-02 09:04:02	2023-06-02 09:04:02
240	9eb0d040ef	2	0	1.40	1	2023-06-02 09:04:24	2023-06-02 09:04:24
241	9eb0d040ef	0	0	-6.36	1	2023-06-02 09:05:10	2023-06-02 09:05:10
242	07d6265486	1	0	0.14	1	2023-06-02 12:10:55	2023-06-02 12:10:55
243	07d6265486	1	0	0.14	1	2023-06-02 12:18:13	2023-06-02 12:18:13
244	07d6265486	0	0	-6.36	1	2023-06-02 12:18:43	2023-06-02 12:18:43
245	fff8c30e58	2	0	1.40	1	2023-06-02 14:37:00	2023-06-02 14:37:00
246	d2dd8d1064	0	0	-6.36	1	2023-06-02 15:11:13	2023-06-02 15:11:13
247	d2dd8d1064	1	0	0.14	1	2023-06-02 15:11:26	2023-06-02 15:11:26
248	d2dd8d1064	0	0	-6.36	1	2023-06-02 15:11:37	2023-06-02 15:11:37
249	d2dd8d1064	0	0	-6.36	1	2023-06-02 15:11:56	2023-06-02 15:11:56
250	d2dd8d1064	0	0	-6.36	1	2023-06-02 15:12:04	2023-06-02 15:12:04
251	f7682feb82	0	0	-6.36	1	2023-06-02 16:02:35	2023-06-02 16:02:35
252	f7682feb82	0	0	-6.36	1	2023-06-02 16:03:30	2023-06-02 16:03:30
253	07d6265486	0	0	-6.36	1	2023-06-02 16:12:32	2023-06-02 16:12:32
254	9eb0d040ef	1	0	0.14	1	2023-06-02 17:06:09	2023-06-02 17:06:09
255	9eb0d040ef	2	0	1.40	1	2023-06-02 17:07:08	2023-06-02 17:07:08
256	9eb0d040ef	1	0	0.14	1	2023-06-02 17:08:00	2023-06-02 17:08:00
257	9eb0d040ef	0	0	-6.36	1	2023-06-02 17:08:55	2023-06-02 17:08:55
258	b68f6fe9a2	0	0	-6.36	1	2023-06-02 22:45:44	2023-06-02 22:45:44
259	b68f6fe9a2	0	0	-6.36	1	2023-06-02 23:10:05	2023-06-02 23:10:05
260	b68f6fe9a2	1	0	0.14	1	2023-06-02 23:10:16	2023-06-02 23:10:16
261	b68f6fe9a2	0	0	-6.36	1	2023-06-02 23:10:29	2023-06-02 23:10:29
262	b68f6fe9a2	1	1	2.10	1	2023-06-02 23:10:39	2023-06-02 23:10:39
263	b68f6fe9a2	1	0	0.14	1	2023-06-02 23:11:09	2023-06-02 23:11:09
264	ff55040f59	1	0	0.14	1	2023-06-03 07:05:51	2023-06-03 07:05:51
265	ff55040f59	1	0	0.14	1	2023-06-03 07:07:05	2023-06-03 07:07:05
266	ff55040f59	0	0	-6.36	1	2023-06-03 07:08:26	2023-06-03 07:08:26
267	ff55040f59	2	0	1.40	1	2023-06-03 07:10:22	2023-06-03 07:10:22
268	ff55040f59	1	0	0.14	1	2023-06-03 07:11:02	2023-06-03 07:11:02
269	ff55040f59	1	0	0.14	1	2023-06-03 07:11:37	2023-06-03 07:11:37
270	ff55040f59	0	0	-6.36	1	2023-06-03 07:12:52	2023-06-03 07:12:52
271	ff55040f59	0	0	-6.36	1	2023-06-03 07:13:45	2023-06-03 07:13:45
272	ff55040f59	1	0	0.14	1	2023-06-03 07:15:41	2023-06-03 07:15:41
273	ff55040f59	1	0	0.14	1	2023-06-03 07:16:42	2023-06-03 07:16:42
274	ff55040f59	0	0	-6.36	1	2023-06-03 07:18:03	2023-06-03 07:18:03
275	fff8c30e58	0	0	-6.36	1	2023-06-03 12:53:39	2023-06-03 12:53:39
276	fff8c30e58	0	0	-6.36	1	2023-06-03 12:54:01	2023-06-03 12:54:01
277	fff8c30e58	0	0	-6.36	1	2023-06-03 13:02:22	2023-06-03 13:02:22
278	fff8c30e58	2	0	1.40	1	2023-06-03 13:02:37	2023-06-03 13:02:37
279	a59b028548	2	0	1.40	1	2023-06-03 17:23:27	2023-06-03 17:23:27
280	1309e0c93b	1	0	0.14	1	2023-06-03 23:17:00	2023-06-03 23:17:00
281	9eb0d040ef	0	0	-6.36	1	2023-06-04 03:32:23	2023-06-04 03:32:23
282	9eb0d040ef	0	0	-6.36	1	2023-06-04 03:33:23	2023-06-04 03:33:23
283	fff8c30e58	0	0	-6.36	1	2023-06-04 13:59:52	2023-06-04 13:59:52
284	fff8c30e58	1	0	0.14	1	2023-06-04 14:00:09	2023-06-04 14:00:09
285	fff8c30e58	1	0	0.14	1	2023-06-04 14:00:30	2023-06-04 14:00:30
286	fff8c30e58	1	0	0.14	1	2023-06-04 14:00:42	2023-06-04 14:00:42
287	ff55040f59	1	0	0.14	1	2023-06-05 00:46:49	2023-06-05 00:46:49
288	07d6265486	0	1	1.75	1	2023-06-05 02:28:11	2023-06-05 02:28:11
289	fff8c30e58	1	0	0.14	1	2023-06-05 13:56:02	2023-06-05 13:56:02
290	fff8c30e58	0	0	-6.36	1	2023-06-05 13:56:19	2023-06-05 13:56:19
291	fff8c30e58	0	0	-6.36	1	2023-06-05 13:56:34	2023-06-05 13:56:34
292	fff8c30e58	1	0	0.14	1	2023-06-05 13:56:49	2023-06-05 13:56:49
293	fff8c30e58	1	0	0.14	1	2023-06-05 13:57:05	2023-06-05 13:57:05
294	fff8c30e58	0	0	-6.36	1	2023-06-05 13:57:16	2023-06-05 13:57:16
295	fff8c30e58	1	0	0.14	1	2023-06-05 13:57:27	2023-06-05 13:57:27
296	07d6265486	0	0	-6.36	1	2023-06-05 15:37:01	2023-06-05 15:37:01
297	fff8c30e58	1	0	0.14	1	2023-06-06 13:52:32	2023-06-06 13:52:32
