id	userid	hits	z	trials	created_at	updated_at
184	9eb0d040ef	22	-0.85	10	2023-06-02 11:11:41	2023-06-02 11:11:41
185	07d6265486	23	-0.57	10	2023-06-02 12:10:20	2023-06-02 12:10:20
186	07d6265486	17	-2.26	10	2023-06-02 12:17:49	2023-06-02 12:17:49
187	fff8c30e58	23	-0.57	10	2023-06-02 14:41:25	2023-06-02 14:41:25
188	d2dd8d1064	26	0.28	10	2023-06-02 15:21:47	2023-06-02 15:21:47
189	d2dd8d1064	18	-1.98	10	2023-06-02 15:22:09	2023-06-02 15:22:09
190	d2dd8d1064	20	-1.41	10	2023-06-02 15:22:37	2023-06-02 15:22:37
191	d2dd8d1064	24	-0.28	10	2023-06-02 15:22:58	2023-06-02 15:22:58
192	d2dd8d1064	30	1.41	10	2023-06-02 15:23:23	2023-06-02 15:23:23
193	d2dd8d1064	23	-0.57	10	2023-06-02 15:23:49	2023-06-02 15:23:49
194	d2dd8d1064	9	-4.53	10	2023-06-02 15:24:15	2023-06-02 15:24:15
195	d2dd8d1064	21	-1.13	10	2023-06-02 15:24:47	2023-06-02 15:24:47
196	d2dd8d1064	21	-1.13	10	2023-06-02 15:25:14	2023-06-02 15:25:14
197	d2dd8d1064	23	-0.57	10	2023-06-02 15:25:39	2023-06-02 15:25:39
198	d2dd8d1064	21	-1.13	10	2023-06-02 15:26:03	2023-06-02 15:26:03
199	d2dd8d1064	24	-0.28	10	2023-06-02 15:26:30	2023-06-02 15:26:30
200	d2dd8d1064	24	-0.28	10	2023-06-02 15:26:53	2023-06-02 15:26:53
201	9eb0d040ef	21	-1.13	10	2023-06-02 16:04:37	2023-06-02 16:04:37
202	07d6265486	20	-1.41	10	2023-06-02 16:11:59	2023-06-02 16:11:59
203	f7682feb82	22	-0.85	10	2023-06-02 16:24:27	2023-06-02 16:24:27
204	fff8c30e58	21	-1.13	10	2023-06-02 18:21:35	2023-06-02 18:21:35
205	fff8c30e58	23	-0.57	10	2023-06-02 18:22:14	2023-06-02 18:22:14
206	b68f6fe9a2	19	-1.70	10	2023-06-02 22:56:35	2023-06-02 22:56:35
207	9eb0d040ef	17	-2.26	10	2023-06-03 03:34:24	2023-06-03 03:34:24
208	9eb0d040ef	22	-0.85	10	2023-06-03 03:35:31	2023-06-03 03:35:31
209	9eb0d040ef	21	-1.13	10	2023-06-03 03:36:26	2023-06-03 03:36:26
210	9eb0d040ef	23	-0.57	10	2023-06-03 03:37:17	2023-06-03 03:37:17
211	9eb0d040ef	20	-1.41	10	2023-06-03 03:38:04	2023-06-03 03:38:04
212	9eb0d040ef	27	0.57	10	2023-06-03 03:38:48	2023-06-03 03:38:48
213	9eb0d040ef	18	-1.98	10	2023-06-03 03:39:35	2023-06-03 03:39:35
214	9eb0d040ef	17	-2.26	10	2023-06-03 03:40:11	2023-06-03 03:40:11
215	ff55040f59	18	-1.98	10	2023-06-03 07:39:01	2023-06-03 07:39:01
216	fff8c30e58	22	-0.85	10	2023-06-03 12:55:00	2023-06-03 12:55:00
217	07d6265486	22	-0.85	10	2023-06-03 14:28:40	2023-06-03 14:28:40
218	a59b028548	24	-0.28	10	2023-06-03 17:26:02	2023-06-03 17:26:02
219	b68f6fe9a2	25	0.00	10	2023-06-03 18:40:32	2023-06-03 18:40:32
220	b68f6fe9a2	26	0.28	10	2023-06-03 18:41:44	2023-06-03 18:41:44
221	b68f6fe9a2	22	-0.85	10	2023-06-03 18:42:59	2023-06-03 18:42:59
222	b68f6fe9a2	22	-0.85	10	2023-06-03 18:44:04	2023-06-03 18:44:04
223	b68f6fe9a2	19	-1.70	10	2023-06-03 18:45:12	2023-06-03 18:45:12
224	b68f6fe9a2	16	-2.55	10	2023-06-03 18:46:15	2023-06-03 18:46:15
225	b68f6fe9a2	23	-0.57	10	2023-06-03 18:48:03	2023-06-03 18:48:03
226	b68f6fe9a2	16	-2.55	10	2023-06-03 18:49:25	2023-06-03 18:49:25
227	b68f6fe9a2	19	-1.70	10	2023-06-03 18:50:37	2023-06-03 18:50:37
228	b68f6fe9a2	18	-1.98	10	2023-06-03 18:51:38	2023-06-03 18:51:38
229	b68f6fe9a2	23	-0.57	10	2023-06-03 18:52:31	2023-06-03 18:52:31
230	1309e0c93b	26	0.28	10	2023-06-03 23:20:31	2023-06-03 23:20:31
231	07d6265486	14	-3.11	10	2023-06-04 01:34:17	2023-06-04 01:34:17
232	9eb0d040ef	23	-0.57	10	2023-06-04 04:42:42	2023-06-04 04:42:42
233	9eb0d040ef	23	-0.57	10	2023-06-04 04:43:42	2023-06-04 04:43:42
234	9eb0d040ef	20	-1.41	10	2023-06-04 04:44:44	2023-06-04 04:44:44
235	9eb0d040ef	24	-0.28	10	2023-06-04 04:45:37	2023-06-04 04:45:37
236	9eb0d040ef	19	-1.70	10	2023-06-04 04:46:36	2023-06-04 04:46:36
237	9eb0d040ef	23	-0.57	10	2023-06-04 04:47:25	2023-06-04 04:47:25
238	9eb0d040ef	17	-2.26	10	2023-06-04 04:48:12	2023-06-04 04:48:12
239	9eb0d040ef	23	-0.57	10	2023-06-04 04:48:55	2023-06-04 04:48:55
240	9eb0d040ef	19	-1.70	10	2023-06-04 04:49:40	2023-06-04 04:49:40
241	9eb0d040ef	17	-2.26	10	2023-06-04 04:50:20	2023-06-04 04:50:20
242	9eb0d040ef	21	-1.13	10	2023-06-04 04:51:05	2023-06-04 04:51:05
243	9eb0d040ef	21	-1.13	10	2023-06-04 04:51:50	2023-06-04 04:51:50
244	9eb0d040ef	25	0.00	10	2023-06-04 04:52:36	2023-06-04 04:52:36
245	9eb0d040ef	22	-0.85	10	2023-06-04 04:53:41	2023-06-04 04:53:41
246	9eb0d040ef	16	-2.55	10	2023-06-04 04:54:27	2023-06-04 04:54:27
247	9eb0d040ef	22	-0.85	10	2023-06-04 04:55:09	2023-06-04 04:55:09
248	9eb0d040ef	22	-0.85	10	2023-06-04 04:55:54	2023-06-04 04:55:54
249	fff8c30e58	23	-0.57	10	2023-06-04 14:04:47	2023-06-04 14:04:47
250	07d6265486	22	-0.85	10	2023-06-05 02:27:38	2023-06-05 02:27:38
251	fff8c30e58	18	-1.98	10	2023-06-05 14:07:48	2023-06-05 14:07:48
252	fff8c30e58	18	-1.98	10	2023-06-05 14:08:20	2023-06-05 14:08:20
253	fff8c30e58	20	-1.41	10	2023-06-05 14:08:55	2023-06-05 14:08:55
254	07d6265486	23	-0.57	10	2023-06-05 15:36:43	2023-06-05 15:36:43
255	07d6265486	28	0.85	10	2023-06-05 15:59:29	2023-06-05 15:59:29
256	07d6265486	27	0.57	10	2023-06-05 16:55:39	2023-06-05 16:55:39
257	fff8c30e58	19	-1.70	10	2023-06-06 14:02:39	2023-06-06 14:02:39
258	fff8c30e58	17	-2.26	10	2023-06-06 14:03:13	2023-06-06 14:03:13
259	fff8c30e58	22	-0.85	10	2023-06-06 14:03:45	2023-06-06 14:03:45
260	fff8c30e58	20	-1.41	10	2023-06-06 14:04:25	2023-06-06 14:04:25
261	07d6265486	24	-0.28	10	2023-06-07 02:10:26	2023-06-07 02:10:26
262	9eb0d040ef	19	-1.70	10	2023-06-07 02:53:38	2023-06-07 02:53:38
263	9eb0d040ef	29	1.13	10	2023-06-07 02:54:33	2023-06-07 02:54:33
264	fff8c30e58	19	-1.70	10	2023-06-07 13:56:42	2023-06-07 13:56:42
265	fff8c30e58	24	-0.28	10	2023-06-07 13:57:32	2023-06-07 13:57:32
266	fff8c30e58	16	-2.55	10	2023-06-07 13:58:16	2023-06-07 13:58:16
267	fff8c30e58	21	-1.13	10	2023-06-07 13:58:54	2023-06-07 13:58:54
268	6865be8b3a	24	-0.28	10	2023-06-08 08:58:19	2023-06-08 08:58:19
269	6865be8b3a	28	0.85	10	2023-06-08 10:22:51	2023-06-08 10:22:51
270	6865be8b3a	26	0.28	10	2023-06-08 11:31:04	2023-06-08 11:31:04
271	fff8c30e58	20	-1.41	10	2023-06-08 14:10:05	2023-06-08 14:10:05
272	fff8c30e58	16	-2.55	10	2023-06-08 14:16:26	2023-06-08 14:16:26
273	e62733e006	21	-1.13	10	2023-06-08 18:02:00	2023-06-08 18:02:00
274	b18c90c4f5	26	0.28	10	2023-06-08 18:10:18	2023-06-08 18:10:18
275	b18c90c4f5	23	-0.57	10	2023-06-08 18:11:55	2023-06-08 18:11:55
276	e62733e006	25	0.00	10	2023-06-08 18:18:29	2023-06-08 18:18:29
277	0eba3300a3	16	-2.55	10	2023-06-09 02:31:35	2023-06-09 02:31:35
278	8d382113e6	19	-1.70	10	2023-06-09 03:05:10	2023-06-09 03:05:10
279	a5311eec87	19	-1.70	10	2023-06-09 07:56:56	2023-06-09 07:56:56
280	c7391ec6fe	23	-0.57	10	2023-06-09 07:57:46	2023-06-09 07:57:46
281	0a2441f8cb	15	-2.83	10	2023-06-09 08:21:04	2023-06-09 08:21:04
282	8f75ebcd08	15	-2.83	10	2023-06-09 11:14:57	2023-06-09 11:14:57
283	945e8bb049	16	-2.55	10	2023-06-09 12:26:47	2023-06-09 12:26:47
284	52b84ac23f	18	-1.98	10	2023-06-09 13:09:22	2023-06-09 13:09:22
285	c7391ec6fe	24	-0.28	10	2023-06-09 13:26:03	2023-06-09 13:26:03
286	fff8c30e58	22	-0.85	10	2023-06-09 14:09:44	2023-06-09 14:09:44
287	59b5d6e957	14	-3.11	10	2023-06-09 17:45:30	2023-06-09 17:45:30
288	2d87584287	23	-0.57	10	2023-06-09 19:24:07	2023-06-09 19:24:07
289	2d87584287	31	1.70	10	2023-06-09 19:25:15	2023-06-09 19:25:15
290	20c6cf9b66	21	-1.13	10	2023-06-09 20:18:53	2023-06-09 20:18:53
291	20c6cf9b66	27	0.57	10	2023-06-09 20:20:56	2023-06-09 20:20:56
292	20c6cf9b66	26	0.28	10	2023-06-09 20:22:39	2023-06-09 20:22:39
293	20c6cf9b66	26	0.28	10	2023-06-09 20:25:10	2023-06-09 20:25:10
294	20c6cf9b66	25	0.00	10	2023-06-09 20:27:07	2023-06-09 20:27:07
