id	userid	z	trials	created_at	updated_at
240	73edb425b7	2.72	20	2023-06-02 05:07:56	2023-06-02 05:07:56
241	9eb0d040ef	0.56	20	2023-06-02 06:15:26	2023-06-02 06:15:26
242	9eb0d040ef	0.84	20	2023-06-02 06:15:49	2023-06-02 06:15:49
243	9eb0d040ef	1.53	20	2023-06-02 06:16:09	2023-06-02 06:16:09
244	9eb0d040ef	4.11	20	2023-06-02 06:16:52	2023-06-02 06:16:52
245	73edb425b7	3.51	20	2023-06-02 07:13:25	2023-06-02 07:13:25
246	36599c7eff	1.18	20	2023-06-02 09:11:01	2023-06-02 09:11:01
247	d66d90b56a	1.02	20	2023-06-02 11:14:09	2023-06-02 11:14:09
248	07d6265486	1.40	20	2023-06-02 12:06:15	2023-06-02 12:06:15
249	07d6265486	1.53	20	2023-06-02 12:21:07	2023-06-02 12:21:07
250	36599c7eff	1.65	20	2023-06-02 14:05:53	2023-06-02 14:05:53
251	fff8c30e58	1.49	20	2023-06-02 14:38:55	2023-06-02 14:38:55
252	fff8c30e58	1.80	20	2023-06-02 14:39:25	2023-06-02 14:39:25
253	fff8c30e58	1.63	20	2023-06-02 14:39:49	2023-06-02 14:39:49
254	fff8c30e58	1.32	20	2023-06-02 14:40:16	2023-06-02 14:40:16
255	fff8c30e58	1.82	20	2023-06-02 14:40:47	2023-06-02 14:40:47
256	6cdaf642e1	-1.49	20	2023-06-02 14:54:19	2023-06-02 14:54:19
257	d2dd8d1064	1.55	20	2023-06-02 14:54:40	2023-06-02 14:54:40
258	d2dd8d1064	0.28	20	2023-06-02 14:55:09	2023-06-02 14:55:09
259	d2dd8d1064	1.52	20	2023-06-02 14:55:34	2023-06-02 14:55:34
260	d2dd8d1064	0.50	20	2023-06-02 14:55:52	2023-06-02 14:55:52
261	d2dd8d1064	0.83	20	2023-06-02 14:56:18	2023-06-02 14:56:18
262	d2dd8d1064	0.89	20	2023-06-02 14:56:38	2023-06-02 14:56:38
263	d2dd8d1064	2.18	20	2023-06-02 14:56:58	2023-06-02 14:56:58
264	d2dd8d1064	1.69	20	2023-06-02 14:57:17	2023-06-02 14:57:17
265	d2dd8d1064	2.08	20	2023-06-02 14:57:41	2023-06-02 14:57:41
266	d2dd8d1064	0.84	20	2023-06-02 14:58:11	2023-06-02 14:58:11
267	f7682feb82	-0.35	20	2023-06-02 16:01:41	2023-06-02 16:01:41
268	f7682feb82	0.92	20	2023-06-02 16:06:00	2023-06-02 16:06:00
269	f7682feb82	1.34	20	2023-06-02 16:08:00	2023-06-02 16:08:00
270	07d6265486	3.53	20	2023-06-02 16:08:16	2023-06-02 16:08:16
271	07d6265486	-0.05	20	2023-06-02 16:58:42	2023-06-02 16:58:42
272	6f96fabae3	-0.94	20	2023-06-02 17:27:03	2023-06-02 17:27:03
273	9eb0d040ef	2.45	20	2023-06-02 17:39:26	2023-06-02 17:39:26
274	9eb0d040ef	1.53	20	2023-06-02 17:40:05	2023-06-02 17:40:05
275	9eb0d040ef	2.27	20	2023-06-02 17:40:27	2023-06-02 17:40:27
276	9eb0d040ef	2.91	20	2023-06-02 17:40:47	2023-06-02 17:40:47
277	9eb0d040ef	1.54	20	2023-06-02 17:41:24	2023-06-02 17:41:24
278	9eb0d040ef	2.18	20	2023-06-02 17:41:44	2023-06-02 17:41:44
279	9eb0d040ef	1.98	20	2023-06-02 17:42:17	2023-06-02 17:42:17
280	9eb0d040ef	2.74	20	2023-06-02 17:43:01	2023-06-02 17:43:01
281	07d6265486	1.81	20	2023-06-02 18:14:17	2023-06-02 18:14:17
282	07d6265486	1.19	20	2023-06-02 22:54:48	2023-06-02 22:54:48
283	e23b4bcc65	1.15	20	2023-06-03 00:14:42	2023-06-03 00:14:42
284	07d6265486	1.43	20	2023-06-03 01:21:08	2023-06-03 01:21:08
285	1309e0c93b	-0.99	20	2023-06-03 01:36:26	2023-06-03 01:36:26
286	ff55040f59	1.48	20	2023-06-03 05:34:39	2023-06-03 05:34:39
287	9eb0d040ef	2.81	20	2023-06-03 08:00:02	2023-06-03 08:00:02
288	ff55040f59	0.80	20	2023-06-03 08:01:52	2023-06-03 08:01:52
289	fff8c30e58	2.65	20	2023-06-03 13:00:02	2023-06-03 13:00:02
290	07d6265486	2.28	20	2023-06-03 14:24:10	2023-06-03 14:24:10
291	72a7d4d47b	1.19	20	2023-06-03 15:01:34	2023-06-03 15:01:34
292	07d6265486	1.90	20	2023-06-03 15:32:12	2023-06-03 15:32:12
293	b68f6fe9a2	1.43	20	2023-06-03 19:18:43	2023-06-03 19:18:43
294	b68f6fe9a2	2.00	20	2023-06-03 19:19:30	2023-06-03 19:19:30
295	b68f6fe9a2	1.48	20	2023-06-03 19:20:04	2023-06-03 19:20:04
296	b68f6fe9a2	1.08	20	2023-06-03 19:20:42	2023-06-03 19:20:42
297	b68f6fe9a2	2.11	20	2023-06-03 19:21:39	2023-06-03 19:21:39
298	b68f6fe9a2	0.61	20	2023-06-03 19:22:27	2023-06-03 19:22:27
299	b68f6fe9a2	1.16	20	2023-06-03 19:23:02	2023-06-03 19:23:02
300	b68f6fe9a2	0.65	20	2023-06-03 19:23:35	2023-06-03 19:23:35
301	b68f6fe9a2	2.14	20	2023-06-03 19:24:10	2023-06-03 19:24:10
302	b68f6fe9a2	0.94	20	2023-06-03 19:24:40	2023-06-03 19:24:40
303	b68f6fe9a2	2.03	20	2023-06-03 19:25:13	2023-06-03 19:25:13
304	73edb425b7	2.70	20	2023-06-03 19:29:08	2023-06-03 19:29:08
305	73edb425b7	3.65	20	2023-06-03 19:41:31	2023-06-03 19:41:31
306	1309e0c93b	0.86	20	2023-06-03 21:32:02	2023-06-03 21:32:02
307	2e006b735f	-0.49	20	2023-06-04 00:32:43	2023-06-04 00:32:43
308	07d6265486	1.89	20	2023-06-04 01:37:10	2023-06-04 01:37:10
309	9eb0d040ef	2.32	20	2023-06-04 03:31:17	2023-06-04 03:31:17
310	72a7d4d47b	-0.87	20	2023-06-04 08:02:18	2023-06-04 08:02:18
311	fff8c30e58	0.89	20	2023-06-04 14:01:51	2023-06-04 14:01:51
312	fff8c30e58	2.63	20	2023-06-04 14:02:22	2023-06-04 14:02:22
313	73edb425b7	2.23	20	2023-06-04 15:22:19	2023-06-04 15:22:19
314	73edb425b7	2.84	20	2023-06-04 15:26:42	2023-06-04 15:26:42
315	73edb425b7	2.61	20	2023-06-04 15:30:04	2023-06-04 15:30:04
316	73edb425b7	3.23	20	2023-06-04 15:39:52	2023-06-04 15:39:52
