id	userid	odds	hits	z	trials	created_at	updated_at
159	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 17:52:52	2023-05-23 17:52:52
160	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 17:53:14	2023-05-23 17:53:14
161	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 17:53:34	2023-05-23 17:53:34
162	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 17:53:59	2023-05-23 17:53:59
163	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 17:54:33	2023-05-23 17:54:33
164	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 17:55:06	2023-05-23 17:55:06
165	fff8c30e58	0.1	7	1.68	20	2023-05-23 17:55:32	2023-05-23 17:55:32
166	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 17:57:59	2023-05-23 17:57:59
167	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 17:58:17	2023-05-23 17:58:17
168	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 17:58:33	2023-05-23 17:58:33
169	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 17:58:54	2023-05-23 17:58:54
170	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 17:59:18	2023-05-23 17:59:18
171	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 17:59:41	2023-05-23 17:59:41
172	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 18:00:10	2023-05-23 18:00:10
173	2e006b735f	4.1074553824682	6	1.12	20	2023-05-23 18:08:33	2023-05-23 18:08:33
174	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 18:11:02	2023-05-23 18:11:02
175	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 18:11:22	2023-05-23 18:11:22
176	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 18:11:42	2023-05-23 18:11:42
177	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 18:12:05	2023-05-23 18:12:05
178	fff8c30e58	1.7001358506854	5	0.56	20	2023-05-23 18:12:28	2023-05-23 18:12:28
179	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 18:12:55	2023-05-23 18:12:55
180	fff8c30e58	-0.0000000000000022204460492503	0	-2.24	20	2023-05-23 18:13:16	2023-05-23 18:13:16
181	fff8c30e58	0.6990877008995	4	0.00	20	2023-05-23 18:13:42	2023-05-23 18:13:42
182	fff8c30e58	0.1	7	1.68	20	2023-05-23 18:14:04	2023-05-23 18:14:04
183	b68f6fe9a2	4.1074553824682	6	1.12	20	2023-05-23 18:26:49	2023-05-23 18:26:49
184	d40dfacc09	0.074316130151885	2	-1.12	20	2023-05-23 18:29:27	2023-05-23 18:29:27
185	e23b4bcc65	0.6990877008995	4	0.00	20	2023-05-23 18:38:22	2023-05-23 18:38:22
186	77c18aa0ae	0.6990877008995	4	0.00	20	2023-05-23 18:46:01	2023-05-23 18:46:01
187	3328dc4258	0.6990877008995	4	0.00	20	2023-05-23 18:56:01	2023-05-23 18:56:01
188	5b84771544	0.25958023968945	3	-0.56	20	2023-05-23 19:10:22	2023-05-23 19:10:22
189	eb1f2db343	0.074316130151885	2	-1.12	20	2023-05-23 19:17:14	2023-05-23 19:17:14
190	fff8c30e58	0.074316130151885	2	-1.12	20	2023-05-23 22:09:34	2023-05-23 22:09:34
191	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 22:10:19	2023-05-23 22:10:19
192	fff8c30e58	0.25958023968945	3	-0.56	20	2023-05-23 22:10:44	2023-05-23 22:10:44
193	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 22:11:44	2023-05-23 22:11:44
194	fff8c30e58	0.011663688215736	1	-1.68	20	2023-05-23 22:12:46	2023-05-23 22:12:46
195	fff8c30e58	4.1074553824682	6	1.12	20	2023-05-23 22:13:22	2023-05-23 22:13:22
