id	userid	steps	z	trials	created_at	updated_at
259	d40dfacc09	26	0.28	10	2023-05-23 19:12:58	2023-05-23 19:12:58
260	d40dfacc09	27	0.21	10	2023-05-23 19:14:23	2023-05-23 19:14:23
261	d40dfacc09	24	0.42	10	2023-05-23 19:15:21	2023-05-23 19:15:21
262	d40dfacc09	29	0.07	10	2023-05-23 19:16:33	2023-05-23 19:16:33
263	891172471b	21	0.64	10	2023-05-23 20:47:17	2023-05-23 20:47:17
264	891172471b	33	-0.21	10	2023-05-23 20:49:04	2023-05-23 20:49:04
265	fff8c30e58	33	-0.21	10	2023-05-23 22:14:06	2023-05-23 22:14:06
266	fff8c30e58	28	0.14	10	2023-05-23 22:14:30	2023-05-23 22:14:30
267	fff8c30e58	25	0.35	10	2023-05-23 22:14:52	2023-05-23 22:14:52
268	852c40a4c1	32	-0.14	10	2023-05-24 00:00:01	2023-05-24 00:00:01
269	5db1799938	32	-0.14	10	2023-05-24 02:58:21	2023-05-24 02:58:21
270	53b90b6e5f	22	0.57	10	2023-05-24 04:54:23	2023-05-24 04:54:23
271	3036d30a05	41	-0.78	10	2023-05-24 12:52:02	2023-05-24 12:52:02
272	fff8c30e58	31	-0.07	10	2023-05-24 13:58:56	2023-05-24 13:58:56
273	fff8c30e58	22	0.57	10	2023-05-24 13:59:16	2023-05-24 13:59:16
274	37b1202ffb	32	-0.14	10	2023-05-24 14:47:45	2023-05-24 14:47:45
275	e562fe06a4	28	0.14	10	2023-05-24 19:40:06	2023-05-24 19:40:06
276	51f5819377	33	-0.21	10	2023-05-24 20:49:50	2023-05-24 20:49:50
277	76b0cf44d8	35	-0.35	10	2023-05-24 23:17:35	2023-05-24 23:17:35
278	03bbe154e3	28	0.14	10	2023-05-25 01:28:28	2023-05-25 01:28:28
279	8c0e8dcf0f	31	-0.07	10	2023-05-25 03:38:35	2023-05-25 03:38:35
280	03bbe154e3	30	0.00	10	2023-05-25 09:52:20	2023-05-25 09:52:20
281	03bbe154e3	34	-0.28	10	2023-05-25 10:04:36	2023-05-25 10:04:36
282	bda1283c07	30	0.00	10	2023-05-25 13:23:11	2023-05-25 13:23:11
283	bda1283c07	26	0.28	10	2023-05-25 13:25:00	2023-05-25 13:25:00
284	fff8c30e58	19	0.78	10	2023-05-25 14:27:23	2023-05-25 14:27:23
285	52946e67cb	36	-0.42	10	2023-05-26 06:38:09	2023-05-26 06:38:09
286	52946e67cb	28	0.14	10	2023-05-26 06:39:08	2023-05-26 06:39:08
287	bdccdd5b23	29	0.07	10	2023-05-26 17:19:24	2023-05-26 17:19:24
288	bdccdd5b23	32	-0.14	10	2023-05-26 17:20:10	2023-05-26 17:20:10
