id	userid	score	bubble_attention_mean	bubble_attention_std	bubble_baseline_mean	bubble_baseline_std	z	trials	created_at	updated_at
216	76b0cf44d8	0.01	-0.017358726268456	0.60281035752385	-0.031261032109856	0.97218608593562	1.77	1	2023-05-24 23:36:38	2023-05-24 23:36:38
217	76b0cf44d8	0.01	0.52494381478745	0.91489552013861	0.51863525212539	0.76990783210089	2.13	1	2023-05-24 23:37:21	2023-05-24 23:37:21
218	03bbe154e3	-0.08	-0.23642070888315	0.80254080100567	-0.18399609004548	0.6449831200575	0.99	1	2023-05-25 01:39:28	2023-05-25 01:39:28
219	03bbe154e3	0.41	-0.20740137735499	0.97069708116473	-0.53040312667004	0.7917077678541	-0.49	1	2023-05-25 01:40:30	2023-05-25 01:40:30
220	03bbe154e3	0.67	0.035936592541791	1.1941374411177	-0.74314183652125	1.1686329297525	-1.46	1	2023-05-25 01:41:16	2023-05-25 01:41:16
221	03bbe154e3	-0.08	-0.17147156101554	1.0335748381751	-0.081647522326252	1.1690126617109	0.91	1	2023-05-25 01:42:01	2023-05-25 01:42:01
222	03bbe154e3	0.13	-0.012013971073878	0.94473554008117	-0.14546101524651	1.0155038602626	0.53	1	2023-05-25 01:42:40	2023-05-25 01:42:40
223	03bbe154e3	-0.13	0.0026847036029735	0.62495228630181	0.090682788905456	0.69466858921723	0.55	1	2023-05-25 01:43:19	2023-05-25 01:43:19
224	03bbe154e3	-0.60	-0.15518568094384	1.1263363161343	0.33697238357393	0.82026081280642	-0.96	1	2023-05-25 01:44:03	2023-05-25 01:44:03
225	03bbe154e3	-0.34	-0.058791771951233	1.1131937125433	0.24220244838237	0.89495813468302	-0.24	1	2023-05-25 01:44:42	2023-05-25 01:44:42
226	03bbe154e3	0.46	0.17988666335815	1.0624130228671	-0.21216339751792	0.84394281070246	-0.65	1	2023-05-25 01:45:24	2023-05-25 01:45:24
227	03bbe154e3	0.42	0.30100073660649	0.96885965063755	-0.0019574884397307	0.7148084054367	-0.46	1	2023-05-25 01:46:09	2023-05-25 01:46:09
228	03bbe154e3	-0.21	-0.27786493111189	1.2162712248499	0.020719898144524	1.4157812449198	0.07	1	2023-05-25 01:46:56	2023-05-25 01:46:56
229	bda1283c07	-0.51	-0.18756633595732	1.0557724197332	0.31225878272915	0.98127352850643	-0.93	1	2023-05-25 13:31:24	2023-05-25 13:31:24
230	bda1283c07	-0.22	0.041875520158506	1.1238044172246	0.30608494111437	1.2011142342229	0.06	1	2023-05-25 13:32:12	2023-05-25 13:32:12
231	fff8c30e58	-0.10	0.1716646777506	0.99475663230377	0.27397361597242	1.0177934413652	0.76	1	2023-05-25 14:30:19	2023-05-25 14:30:19
232	77c18aa0ae	0.08	-0.13718797807566	0.99794752440586	-0.21304982674004	0.93732477934261	0.94	1	2023-05-25 16:24:46	2023-05-25 16:24:46
233	ff55040f59	-0.05	0.10874955285126	0.92525015881959	0.16155920210628	1.0488809707565	1.18	1	2023-05-26 12:55:03	2023-05-26 12:55:03
234	51f5819377	0.46	0.33200883091221	1.1147195380071	-0.082648634276726	0.90181403982404	-0.65	1	2023-05-26 14:59:14	2023-05-26 14:59:14
235	551ffb1b22	0.55	0.44929056428964	1.1490493583862	-0.15924741419466	1.1107306515819	-1.09	1	2023-05-26 16:22:38	2023-05-26 16:22:38
236	bdccdd5b23	0.56	0.24695090194118	1.0936245201686	-0.32550782853496	1.0196578812028	-1.10	1	2023-05-26 17:38:40	2023-05-26 17:38:40
237	bdccdd5b23	0.23	0.049441648705892	0.92687520876725	-0.19275480129025	1.052624648726	-0.01	1	2023-05-26 17:39:16	2023-05-26 17:39:16
238	d40dfacc09	0.70	0.36945550963439	1.7589322587811	-0.20436946181144	0.82177325676722	-0.67	1	2023-05-26 20:12:13	2023-05-26 20:12:13
239	d40dfacc09	0.27	0.14882808859291	0.92407122597106	-0.064339948015141	0.79135977516963	-0.03	1	2023-05-26 20:13:04	2023-05-26 20:13:04
240	fff8c30e58	0.18	0.044206387470226	0.94628791969834	-0.086507126753009	0.70879499746576	0.42	1	2023-05-26 20:51:39	2023-05-26 20:51:39
241	63c692191a	-0.35	-0.54973736968915	0.96378861962619	-0.20784065936804	0.96915873908448	-0.45	1	2023-05-27 05:44:54	2023-05-27 05:44:54
242	ff92c2f177	-0.13	0.16288857788866	0.95723023845829	0.26178173690064	0.78860577789549	0.68	1	2023-05-27 13:58:18	2023-05-27 13:58:18
243	ff92c2f177	0.26	0.14293386026112	1.1234022849847	-0.1093519352553	0.98912647389679	0.01	1	2023-05-27 13:59:03	2023-05-27 13:59:03
244	77c18aa0ae	-0.60	-0.40501711087991	1.1504958653536	0.24141747145314	1.0717043740385	-1.22	1	2023-05-27 16:35:03	2023-05-27 16:35:03
245	77c18aa0ae	-0.39	-0.017204746174857	0.63344311431751	0.43179335538466	1.1635537522712	-0.88	1	2023-05-27 17:44:17	2023-05-27 17:44:17
246	77c18aa0ae	0.19	-0.024695786890122	0.98044425384646	-0.21568034682961	0.9816422911501	0.22	1	2023-05-27 17:44:54	2023-05-27 17:44:54
247	fff8c30e58	0.22	0.17921123802899	0.9350958699141	0.021941479895246	0.72931193530585	0.25	1	2023-05-28 13:40:06	2023-05-28 13:40:06
248	fff8c30e58	0.21	0.36299611150704	0.68877829173075	0.060018750414194	1.4190013769217	-0.12	1	2023-05-28 13:42:02	2023-05-28 13:42:02
249	fff8c30e58	-0.02	0.033810335805944	1.3693324081391	0.056903925139576	0.98728353561323	1.71	1	2023-05-29 13:14:59	2023-05-29 13:14:59
250	bd86b078cc	-0.23	0.1158437313374	0.95673853491905	0.26612419574694	0.64312439923349	0.27	1	2023-05-29 21:50:36	2023-05-29 21:50:36
251	bd86b078cc	0.26	-0.031869116547437	0.76510131838916	-0.27474195061647	0.91952496515974	-0.19	1	2023-05-29 21:51:26	2023-05-29 21:51:26
252	fff8c30e58	-0.25	-0.085618546498848	1.0034143906926	0.1286017699482	0.85068786248287	0.05	1	2023-05-30 14:02:49	2023-05-30 14:02:49
253	82d9256209	-0.17	-0.054279370214216	0.97631137011871	0.089783410163136	0.83116423230261	0.40	1	2023-05-30 18:07:15	2023-05-30 18:07:15
254	ae50750d2f	0.45	0.23439762125423	0.64874526891875	-0.34013568862725	1.2652135645366	-1.17	1	2023-05-30 18:40:08	2023-05-30 18:40:08
255	fff8c30e58	0.19	0.25038376479718	0.79858615620053	0.10823980779918	0.73547503256961	0.26	1	2023-05-31 14:43:57	2023-05-31 14:43:57
256	bdccdd5b23	-0.14	-0.26884699649599	0.73072964972857	-0.17596134207454	0.67874397072156	0.56	1	2023-05-31 19:07:21	2023-05-31 19:07:21
257	bdccdd5b23	1.14	0.48742629180253	1.1306687548056	-0.34325913311513	0.72614649667333	-2.05	1	2023-05-31 19:08:18	2023-05-31 19:08:18
258	bdccdd5b23	0.32	-0.17943436671451	0.98129578996391	-0.53883855931954	1.106609519125	-0.41	1	2023-05-31 19:09:11	2023-05-31 19:09:11
259	bdccdd5b23	-0.04	-0.12583305667772	0.78478772023026	-0.089706584118987	0.80528675106477	1.27	1	2023-05-31 19:10:18	2023-05-31 19:10:18
260	bdccdd5b23	0.24	-0.043919120530846	0.99945241410803	-0.30104682918134	1.0686321131627	-0.03	1	2023-05-31 19:10:59	2023-05-31 19:10:59
261	bdccdd5b23	0.26	-0.035721770683136	0.88561616275356	-0.23641104984606	0.7576921278079	-0.01	1	2023-05-31 19:11:41	2023-05-31 19:11:41
262	2e006b735f	-0.19	0.00062240291699958	0.79008848492377	0.17242373956958	0.91057864116258	0.18	1	2023-06-01 13:58:23	2023-06-01 13:58:23
